Index,Country,Accounts,Global Share,Accounts per 100 Capita,Android,iOS,Picture,Status,Business,Companions
49,Senegal,"11,185,047",0.32,62.6,82.62,17.38,75.36,22.32,20.29,2.69
50,Uganda,"10,723,769",0.31,22.35,94.67,5.33,73.73,23.5,23.47,2.37
51,Bolivia,"10,304,427",0.3,84.75,95.53,4.47,49.38,26.63,10.29,11.84
52,Uzbekistan,"10,100,037",0.29,28.62,92.3,7.7,41.28,7.88,4.76,0.66
53,Portugal,"10,066,460",0.29,96.51,71.09,28.91,63.96,37.93,4.95,20.93
54,Dominican Republic,"10,014,519",0.29,88.76,72.77,27.23,55.92,26.37,11.69,9.43
55,Hong Kong,"9,730,348",0.28,130.57,49.22,50.78,55.27,37.23,6.24,18.2
56,Belgium,"9,697,985",0.28,82.9,57.33,42.67,56.89,38.99,2.29,16.15
57,Afghanistan,"8,804,518",0.25,21.55,89.13,10.87,70.74,18.59,21.78,1.75
58,Czechia,"8,415,604",0.24,77.72,68.62,31.38,55.6,34.5,0.91,11.39
59,Switzerland,"8,357,677",0.24,94.51,42.74,57.26,57.54,46.95,3.01,19.89
60,Azerbaijan,"8,335,654",0.24,80.68,85.12,14.88,46.88,24.2,14.26,5.38
61,Cameroon,"8,239,619",0.24,29.43,90.1,9.9,68.57,17.97,20.99,2.48
62,Austria,"7,873,644",0.23,86.18,59.44,40.56,59.68,41.24,2.09,15.82
63,Mali,"7,834,497",0.23,33.46,93.19,6.81,79.53,14.49,19.23,0.99
64,Sudan,"7,793,904",0.23,15.58,95.92,4.08,61.52,15.37,12.22,1.19
65,Libya,"7,356,011",0.21,101.2,82.82,17.18,59.62,21.64,11.32,2.41
66,Zimbabwe,"7,019,896",0.2,43.32,95,5,64.84,27.31,21.96,2.78
67,Singapore,"6,724,838",0.19,116.63,57.57,42.43,52.55,36.49,7.81,24.82
68,Burkina Faso,"6,691,914",0.19,29.39,96.12,3.88,79.63,14.87,14.79,2.09
69,Tunisia,"6,583,209",0.19,54.13,88.11,11.89,45.43,11.38,3.11,4.56
70,Honduras,"6,331,543",0.18,59.99,85.46,14.54,47.8,20.24,6.63,7.32
71,Jordan,"6,235,059",0.18,54.95,77.96,22.04,59.7,38.17,5.54,9.07
72,Sweden,"6,127,644",0.18,58.24,38.32,61.68,50.28,45.92,1.12,6.39
73,El Salvador,"5,995,307",0.17,95.24,90.51,9.49,47.14,20.11,5.6,10.7
74,Cuba,"5,945,516",0.17,53.86,94.72,5.28,69.57,21.5,5.97,1.76
75,Mozambique,"5,835,551",0.17,17.61,93.45,6.55,72.85,22.19,19.25,2.51
76,Paraguay,"5,764,289",0.17,84.74,88.73,11.27,46.47,28.31,12,9.02
77,Kyrgyzstan,"5,666,704",0.16,80.77,79.86,20.14,56.65,28.52,15.96,4.99
78,Angola,"5,494,589",0.16,15.18,87.73,12.27,69.66,19.99,11.81,4.07
79,Costa Rica,"5,408,613",0.16,106.2,79.82,20.18,50.92,29.51,7.52,15.95
80,Nicaragua,"5,394,014",0.16,79.59,92.91,7.09,55.36,19.68,10.32,4.75
81,Thailand,"5,289,787",0.15,7.38,62.12,37.88,48.06,14.06,3.08,4.68
82,Ethiopia,"5,258,939",0.15,4.14,95.07,4.93,45.84,6.76,7.27,2.22
83,Finland,"5,210,733",0.15,93.22,66.78,33.22,63.89,48.81,1.33,13.13
84,Haiti,"5,183,317",0.15,44.8,92.17,7.83,66.66,18.34,28.9,1.76
85,Kuwait,"5,119,447",0.15,106.81,58.04,41.96,58.8,35.88,13.99,6.94
86,Oman,"4,944,837",0.14,100.24,71.03,28.97,63.65,35.24,18.18,8
87,Ireland,"4,931,768",0.14,95.47,52.83,47.17,58.43,43.59,2.45,9.9
88,Benin,"4,887,173",0.14,35.07,94.04,5.96,74.44,20.61,25.22,2.75
89,Zambia,"4,793,101",0.14,23.46,90.39,9.61,69.32,23.42,14.77,3.74
90,Vietnam,"4,714,460",0.14,4.71,45.03,54.97,34.29,13.33,2.15,6.45
91,Somalia,"4,524,006",0.13,25.09,91.03,8.97,64.57,18.83,28.65,3.23
92,Lebanon,"4,462,061",0.13,77.45,75,25,50.06,37.42,10.31,9.58
93,Laos,"4,276,598",0.12,56.18,77.64,22.36,68.6,25.12,7.12,6.33
94,Qatar,"4,168,851",0.12,141.51,70.41,29.59,59.96,29.39,20.27,9.87
95,Tajikistan,"4,044,373",0.12,39.31,91.79,8.21,65.73,15.75,14.07,1.3
96,Niger,"4,018,525",0.12,15.62,96.65,3.35,75.64,10.8,20.03,0.68
97,Panama,"3,981,244",0.12,89.87,84.58,15.42,42.79,23.91,8.44,10.52
98,Greece,"3,836,612",0.11,37.07,71.32,28.68,53.25,23.71,4.43,6.16
99,Guinea,"3,712,196",0.11,26.09,91.1,8.9,72.65,9.42,6.87,1.5
100,Uruguay,"3,590,005",0.1,105.93,79.09,20.91,57.72,33.45,5.92,15.66
101,Serbia,"3,536,526",0.1,52.1,74.72,25.28,55.72,25.99,1.26,6.18
102,Belarus,"3,436,804",0.1,37.58,78.06,21.94,48.6,18.59,0.96,4.08
103,Togo,"3,278,638",0.09,35.65,93.65,6.35,72.31,23.88,28.05,3.75
104,Rwanda,"3,242,999",0.09,23.49,94.67,5.33,76.28,18.38,31.88,6.61
105,Croatia,"3,176,821",0.09,81.39,78.84,21.16,57.3,31.02,1.63,10.81
106,Slovakia,"3,058,109",0.09,55.43,69.52,30.48,46.66,27.63,0.86,8.92
107,New Zealand,"3,009,086",0.09,58.42,46.82,53.18,46.87,35.4,1.99,8.49
108,C̫te d'Ivoire,"2,954,156",0.09,9.6,88.18,11.82,77.77,9.62,16.93,1.36
109,Puerto Rico,"2,927,955",0.08,90.37,52.14,47.86,51.69,33.83,2.61,8.54
110,Malawi,"2,909,098",0.08,13.96,97.18,2.82,72.37,19.2,28.5,2.71
111,Chad,"2,822,729",0.08,15.04,95.97,4.03,75.36,9.74,19.1,0.81
112,Georgia,"2,693,366",0.08,70.75,66.56,33.44,44.67,23.99,4.25,6.16
113,Japan,"2,657,913",0.08,2.13,29.94,70.06,42.6,28.01,2.19,7.2
114,Mauritania,"2,600,507",0.08,52.56,83.97,16.03,76.99,20.82,25.59,1.65
